name,artist_name,playcount,listeners
Tears,Sabrina Carpenter,5090232,626322
When Did You Get Hot?,Sabrina Carpenter,4019145,472891
back to friends,sombr,14147109,989716
Manchild,Sabrina Carpenter,13149936,895118
SUGAR ON MY TONGUE,"Tyler, The Creator",6194610,840178
House Tour,Sabrina Carpenter,3663297,426898
Gabriela,KATSEYE,9123032,617081
The Subway,Chappell Roan,9837020,737379
Nobody’s Son,Sabrina Carpenter,3621440,448637
No One Noticed,The Marías,23949524,1242295
Gnarly,KATSEYE,13584379,678356
Sienna,The Marías,10293946,775907
Golden,HUNTR/X,9268077,633584
My Man on Willpower,Sabrina Carpenter,3342846,450425
Sugar Talking,Sabrina Carpenter,3188336,438108
Let Down,Radiohead,31214041,2197460
Go Go Juice,Sabrina Carpenter,3073490,389896
"Good Luck, Babe!",Chappell Roan,52230860,1877847
undressed,sombr,9649857,819722
Creep,Radiohead,51639526,3757569
Goodbye,Sabrina Carpenter,2632619,363862
Feel Good Inc.,Gorillaz,33763578,2939758
12 to 12,sombr,2785162,371882
"Lover, You Should've Come Over",Jeff Buckley,23629389,1361964
See You Again (feat. Kali Uchis),"Tyler, The Creator",50469658,2333495
Never Getting Laid,Sabrina Carpenter,2696092,389053
Sports car,Tate McRae,14948513,701701
BIRDS OF A FEATHER,Billie Eilish,48728967,1992069
Diet Pepsi,Addison Rae,18291968,893460
505,Arctic Monkeys,50883649,2750082
We Almost Broke Up Again Last Night,Sabrina Carpenter,2708575,391762
No Surprises,Radiohead,48373812,3119508
Love Me Not,Ravyn Lenae,12079758,911707
Sparks,Coldplay,31602304,2300959
Romantic Homicide,d4vd,24516028,1370251
party 4 u,Charli xcx,15468908,997571
Timeless (Feat Playboi Carti),The Weeknd,8629424,813410
Jealous Type,Doja Cat,3352298,342154
JUMP,BLACKPINK,10089565,488488
Don’t Worry I’ll Make You Worry,Sabrina Carpenter,2314808,347958
Lovers Rock,TV Girl,43493993,1927165
Iris,The Goo Goo Dolls,25188826,2020712
Duvet,bôa,34999454,1715833
Ring Ring Ring,"Tyler, The Creator",4503362,669939
Sweater Weather,The Neighbourhood,43891917,2677948
From the Start,Laufey,22154869,1243039
The Less I Know the Better,Tame Impala,41069434,2412554
Illegal,PinkPantheress,7580325,787178
All I Need,Radiohead,34524137,2216128
Breakin' Dishes,Rihanna,12102297,1189958
The Dead Dance,Lady Gaga,1568979,225989
Like Him (feat. Lola Young),"Tyler, The Creator",17781573,1228104
we can't be friends (wait for your love),Ariana Grande,29998480,1228199
Pink + White,Frank Ocean,53788768,2243459
City Walls,twenty one pilots,755978,117225
Espresso,Sabrina Carpenter,49608224,1961493
There Is a Light That Never Goes Out - 2011 Remaster,The Smiths,25717966,1652501
Juna,Clairo,17565644,1074913
Your Idol,SAJA BOYS,7386735,452958
End of Beginning,Djo,24982608,1552949
Juno,Sabrina Carpenter,20977501,989311
Heavy,The Marías,11669712,796373
Headlock,Imogen Heap,20920417,1366455
Casual,Chappell Roan,25517391,1163727
Von dutch,Charli xcx,26435424,1265016
Fame Is a Gun,Addison Rae,8619641,562961
Fade Into You,Mazzy Star,28678045,1929105
luther (with SZA),Kendrick Lamar,22764656,1337910
DARE (feat. Shaun Ryder & Roses Gabor),Gorillaz,1783827,446994
Touch,KATSEYE,11501852,731116
No Pole,Don Toliver,12162612,776989
Apocalypse,Cigarettes After Sex,36356843,1860956
Back to the Old House - 2011 Remaster,The Smiths,18216849,1201762
Abracadabra,Lady Gaga,21170002,982045
On Melancholy Hill,Gorillaz,24091916,2054367
Linger,The Cranberries,28122519,2213943
Just Keep Watching (From F1® The Movie),Tate McRae,5652598,455035
Man I Need,Olivia Dean,1090685,221911
"One of the Girls (with JENNIE, Lily Rose Depp)",The Weeknd,22986042,1239340
WILDFLOWER,Billie Eilish,29712354,1401038
like JENNIE,Jennie,13315519,597724
Pain,PinkPantheress,31728965,1693371
Ribs,Lorde,30491449,1663569
the perfect pair,beabadoobee,25308041,1282152
Sextape,Deftones,23417612,1341058
"All The Stars (with SZA) - From ""Black Panther: The Album""",Kendrick Lamar,2535955,575098
Taste,Sabrina Carpenter,26947182,1374458
My Own Summer (Shove It),Deftones,23016099,1630673
Guess featuring billie eilish,Charli xcx,25554222,1416992
Pink Pony Club,Chappell Roan,22797754,1327369
Sailor Song,Gigi Perez,22013762,1053291
Heaven Knows I'm Miserable Now - 2011 Remaster,The Smiths,21054969,1443048
Revolving door,Tate McRae,9813604,546244
Drum Show,twenty one pilots,2205136,161366
Fake Plastic Trees,Radiohead,28489662,2227238
Gameboy,KATSEYE,3911866,386531
How It’s Done,HUNTR/X,5624885,427468
Loser,Tame Impala,623938,184082
Cigarettes out the Window,TV Girl,26782803,1456910
All I Wanted,Paramore,19274802,1478686
Jigsaw Falling Into Place,Radiohead,35669769,2142566
Into You,Ariana Grande,22258596,1451760
Bed Chem,Sabrina Carpenter,22101758,1120272
Rawfear,twenty one pilots,686495,97818
Die with a Smile,Lady Gaga,27202289,1573112
My Love Mine All Mine,Mitski,45275002,1844916
Bags,Clairo,30219570,1404124
Nope your too late i already died,wifiskeleton,12102739,494656
Dark Red,Steve Lacy,36088860,1965564
HOT TO GO!,Chappell Roan,29726044,1456324
I Wanna Be Yours,Arctic Monkeys,37563866,2369367
Red Wine Supernova,Chappell Roan,28168579,1205424
Flashing Lights,Kanye West,31998076,1962528
Dreams - 2004 Remaster,Fleetwood Mac,23197782,1721618
Lover Girl,Laufey,2977467,339774
Here With Me,d4vd,14683250,1175710
Busy Woman,Sabrina Carpenter,11619349,722915
No. 1 Party Anthem,Arctic Monkeys,19933446,1431580
Change (In the House of Flies),Deftones,23646525,1690561
When the Sun Hits,Slowdive,21901366,1335117
Chop Suey!,System of a Down,31146510,2572913
Everlong,Foo Fighters,41344472,2901438
So Far So Fake,Pierce the Veil,3614270,347320
Mr. Brightside,The Killers,45390822,3402546
LES,Childish Gambino,21248449,1232253
SODA POP,SAJA BOYS,4999453,448388
In the End,Linkin Park,35350025,3028629
Beaches,beabadoobee,8415191,614196
Be Quiet and Drive (Far Away),Deftones,23909215,1439968
About You,The 1975,19911888,881947
Bring Me to Life,Evanescence,26091847,2556072
Just Dance,Lady Gaga,24832021,2541542
M.I.A,KATSEYE,2938337,294294
Every Breath You Take,The Police,21392019,2489088
Falling Behind,Laufey,14003567,920231
Garbage,twenty one pilots,566458,90909
Not Allowed,TV Girl,33737890,1506354
Still Into You,Paramore,23204368,1768978
The Contract,twenty one pilots,3882250,183929
Nobody New,The Marías,4574033,493451
ARE WE STILL FRIENDS?,"Tyler, The Creator",27817955,1639498
Come as You Are,Nirvana,36555310,3619646
DAISIES,Justin Bieber,3337900,472728
What It Sounds Like,HUNTR/X,4659990,363297
Please Please Please,Sabrina Carpenter,32261090,1561711
"Girl, so confusing featuring lorde",Charli xcx,12614951,890872
Tonight,PinkPantheress,7945659,592579
Poker Face,Lady Gaga,38015652,3362545
